8:47:31 AM | Request type:List movie shows | Request Parameter: AVATAR | Status: Success | Server Response: Movie shows listed, if any.
8:49:00 AM | Request type:List movie shows | Request Parameter: AVATAR | Status: Success | Server Response: Movie shows listed, if any.
10:02:29 AM | Request type:List movie shows | Request Parameter: AVATAR | Status: Success | Server Response: Movie shows listed, if any.
10:03:18 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
10:19:04 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
10:32:12 AM | Request type:List movie shows | Request Parameter: Avengers | Status: Success | Server Response: Movie shows listed, if any.
10:51:22 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
10:59:47 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
8:33:49 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
5:33:41 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
5:34:15 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
6:17:15 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
6:20:30 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
6:20:38 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
6:20:38 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
11:18:58 PM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:10:22 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:10:22 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:12:51 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:12:51 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:27:04 AM | Request type:List movie shows | Request Parameter: Titanic | Status: Success | Server Response: Movie shows listed, if any.
1:27:04 AM | Request type:List movie shows | Request Parameter: Titanic | Status: Success | Server Response: Movie shows listed, if any.
1:27:59 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:27:59 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:35:33 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
1:35:33 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
