8:47:31 AM | Request type:List movie shows | Request Parameter: AVATAR | Status: Success | Server Response: Movie shows listed, if any.
8:49:00 AM | Request type:List movie shows | Request Parameter: AVATAR | Status: Success | Server Response: Movie shows listed, if any.
8:52:58 AM | Request type:Add Movie Slots | Request Parameter: VERA123,VERA080808,TITANIC,10 | Status: Success | Server Response: Movie Slots Added
8:53:24 AM | Request type:Book Movie Tickets | Request Parameter: ATWA123,VERA080808,TITANIC,3 | Status: Success | Server Response: Movie Tickets Booked
8:53:32 AM | Request type:Get movie booking schedule | Request Parameter: ATWA123 | Status: Success | Server Response: Movie bookings listed, if any.
10:02:29 AM | Request type:List movie shows | Request Parameter: AVATAR | Status: Success | Server Response: Movie shows listed, if any.
10:03:18 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
10:19:04 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
10:32:12 AM | Request type:List movie shows | Request Parameter: Avengers | Status: Success | Server Response: Movie shows listed, if any.
10:51:22 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
10:59:47 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
8:33:49 AM | Request type:List movie shows | Request Parameter: Avatar | Status: Success | Server Response: Movie shows listed, if any.
