10:01:15 AM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA080423,Avatar,5 | Status: Success | Server Response: Movie Tickets Booked
3:30:02 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA080423,Avatar,7 | Status: Success | Server Response: Movie Tickets Booked
3:30:46 PM | Request type:Cancel Movie Tickets | Request Parameter: ATWC1234,ATWA080423,Avatar,3 | Status: Success | Server Response: Movie Tickets Cancelled
3:31:56 PM | Request type:Cancel Movie Tickets | Request Parameter: ATWC1234,ATWA080423,Avatar,2 | Status: Success | Server Response: Movie Tickets Cancelled
3:31:56 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA080423,Avengers,2 | Status: Success | Server Response: Movie Tickets Booked
3:43:37 PM | Request type:Cancel Movie Tickets | Request Parameter: ATWC1234,ATWA080423,Avatar,1 | Status: Success | Server Response: Movie Tickets Cancelled
3:43:37 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA090423,Avatar,1 | Status: Success | Server Response: Movie Tickets Booked
8:35:36 AM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA090423,Avatar,4 | Status: Success | Server Response: Movie Tickets Booked
5:33:15 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,3 | Status: Failed | Server Response: Movie name not found
5:34:14 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,3 | Status: Failed | Server Response: Movie name not found
5:35:41 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA110423,Avatar,5 | Status: Success | Server Response: Movie Tickets Booked
5:35:41 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA110423,Avatar,5 | Status: Success | Server Response: Movie Tickets Booked
6:13:40 PM | Request type:Cancel Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,4 | Status: Failed | Server Response: No Booking Found for the Movie
6:16:56 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,4 | Status: Failed | Server Response: Movie name not found
6:19:37 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
6:20:37 PM | Request type:Cancel Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,4 | Status: Failed | Server Response: No Booking Found for the Movie
6:20:38 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,4 | Status: Failed | Server Response: Movie name not found
6:20:38 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA100423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
11:17:35 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA110423,Avatar,2 | Status: Success | Server Response: Movie Tickets Booked
11:22:44 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA110423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
11:36:52 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA110423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
11:42:31 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA110423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
11:48:23 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA120423,Avatar,34 | Status: Success | Server Response: Movie Tickets Booked
11:54:20 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA120423,Avatar,5 | Status: Success | Server Response: Movie Tickets Booked
11:57:53 PM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA120423,Avatar,5 | Status: Success | Server Response: Movie Tickets Booked
1:34:59 AM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA120423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
1:34:59 AM | Request type:Book Movie Tickets | Request Parameter: ATWC1234,ATWA120423,Avatar,3 | Status: Success | Server Response: Movie Tickets Booked
